ID_REF,215219_at,208245_at,210506_at,220418_at,220622_at,214565_s_at,214244_s_at,207899_at,216373_at,217166_at,206925_at,208601_s_at,211904_x_at,220433_at,217380_s_at,211794_at,217536_x_at,215814_at,213680_at,215663_at,214379_at,202489_s_at,204047_s_at,218454_at,207757_at,219699_at,209788_s_at,203676_at,209156_s_at,204863_s_at,218411_s_at,214283_at,203168_at,216652_s_at,221967_at,201219_at,222217_s_at,52741_at,221715_at,220641_at,219731_at,218075_at,219869_s_at,204557_s_at,210210_at,219530_at,219324_at,221966_at,204391_x_at,209015_s_at,204880_at,211799_x_at,204846_at,206989_s_at,209959_at,222273_at,212238_at,202688_at,209523_at,201866_s_at,202479_s_at,217863_at,205726_at,213900_at,203874_s_at,217961_at,203851_at,209735_at,Group
GSM317398,0.17248909,0.004366813,0.021834062,0.041484717,0.015283844,0.06331878,0.026200876,0.054585155,0.11353712,0.13537118,0.19650656,0.37991267,0.019650655,0.07641922,0.23580788,0.19213976,0.09606988,0.04585153,0.16157207,0.09606988,0.34497818,0.9563319,0.61572057,0.15502185,0.22270744,1.187773,0.5786027,1.3296944,0.43668124,0.21397382,0.8493451,0.5895197,0.6353712,1.6746725,1.2510917,0.7969433,1.0960699,1.1790394,0.13537118,0.2074236,1.2117904,0.9650656,1.048035,1.7336246,0.8231442,1.1179041,2.106987,1.3144106,2.0283844,1.0720525,1.5611354,1.8777294,0.34061137,1.7554586,1.7772927,1.4585154,2.7423582,0.91703063,2.4410481,3.6200876,2.574236,2.7663755,1.8689957,1.6724892,2.6157207,2.8296945,2.4213974,6.1484723,control
GSM317402,0.030581038,0.02446483,0.045871556,0.22324158,0.015290519,0.1529052,0.021406727,0.4006116,0.039755348,0.119266056,0.12538226,0.66360855,0.45565745,0.38226297,0.04892966,0.10091743,0.28746176,0.27522933,0.079510696,0.25382262,0.3761468,0.079510696,0.49541286,0.039755348,1.0519878,0.9388379,0.18960243,1.211009,0.5749235,0.26605502,0.82568806,0.9908257,0.50152904,1.4556574,0.9357798,0.79816514,1.2691131,1.556575,0.5045871,1.0764526,1.4801223,1.2262996,1.4954128,1.3486238,1.211009,1.2507645,1.5779816,1.7308867,1.53211,0.9235474,1.3119266,1.6299694,0.16207951,1.0061163,2.058104,1.0214068,2.5504587,1.620795,1.6177369,4.770642,3.8501527,1.2538226,2.7798164,1.2201835,2.8501527,2.9051986,3.7370028,5.7278285,control
GSM317407,0.023738872,0.008902078,0.2982196,0.11721068,0.010385756,0.08456973,0.040059347,0.08160237,0.22106823,0.1439169,0.17507418,0.050445102,0.20474777,0.28635013,0.5281899,0.7759644,0.17507418,0.14985164,0.615727,0.21513352,0.45845696,0.047477745,0.65578634,0.33679524,0.5504451,0.59940654,0.6231454,0.8902077,0.6780415,1.1038575,0.9020771,1.1305637,1.4332343,0.97626114,0.9732937,1.15727,0.6854599,0.80563796,0.53857565,0.68991095,0.9406528,1.5905043,0.60979223,1.5934718,0.51186943,1.12908,1.4569732,2.0103858,1.2893175,0.74629074,1.249258,0.86201775,0.33531156,2.2284865,1.8353114,1.3026706,1.8768545,1.1023738,2.498516,2.3427298,2.15727,2.8175073,2.0222552,2.4703264,3.013353,2.4510384,2.3664687,2.8961422,control
GSM317410,0.01910828,0.08067941,0.042462848,0.07855627,0.02760085,0.17834395,0.02760085,0.24628453,0.16560511,0.24840766,0.23779194,0.070063695,0.22929938,0.5010616,0.07643312,0.11889597,0.2059448,0.19745225,0.34394908,0.3099788,0.59660304,0.14012739,0.656051,0.21868367,0.5456476,1.0360935,0.37579623,0.45222932,0.67303616,0.90870494,0.7643313,1.0764332,1.1252655,1.0318471,0.7112527,0.7940553,1.0743101,1.2292994,0.789809,0.47558388,0.9745224,0.98301494,1.1507432,1.3651806,0.7961784,1.3290871,1.6900213,0.50955415,1.6157113,0.7813164,1.2314225,1.101911,0.5414013,1.5244163,1.6921444,1.6624205,1.774947,1.0976646,1.9639068,2.653928,2.52017,1.8174099,2.1210194,1.4628452,2.0679407,2.1719747,2.1740978,3.1337583,control
GSM317412,0.01775148,0.011834321,0.05128205,0.15581855,0.0295858,0.2366864,0.047337282,0.027613413,0.013806706,0.13806707,0.0591716,0.06903353,0.30177516,0.17159763,0.4122288,0.24457593,0.07692308,0.09072978,0.18145956,0.28796846,0.37869826,0.29980275,0.678501,0.092702165,0.90729785,0.6646943,0.67061144,0.58185405,0.67455626,0.75147927,0.9526627,0.8126233,0.5838264,1.285996,0.84023666,1.0493097,0.98224854,0.8974359,0.27218935,0.4852071,1.2071006,1.3392506,1.0118343,1.923077,0.88757396,0.94280076,1.4378699,1.6607494,1.7455622,0.7218935,1.5917159,1.4930966,0.17159763,2.504931,1.8461539,2.0532544,1.7731756,1.3550296,2.4240632,3.566075,2.948718,2.6548326,2.1755426,1.4595661,2.698225,2.0039449,2.0552268,4.4516764,control
GSM317413,0.024886878,0.20135747,0.040723983,0.05882353,0.036199097,0.25339368,0.18099548,0.28054297,0.12669684,0.18778281,0.19004524,0.05882353,0.4841629,0.10859729,0.59049773,0.6877828,0.3846154,0.1923077,0.18552037,0.08144797,0.5294118,0.06787331,0.300905,0.24660634,0.5565611,0.32126698,0.11764706,0.24886878,0.9932127,1.061086,0.7850679,0.73981905,1.6877828,0.5701358,1.0429864,0.8552036,1.6583711,1.142534,1.3936652,0.9004525,1.0226245,2.4230769,0.69004524,1.8529413,1.545249,1.5022625,1.5950227,1.3076923,1.2466063,0.7692308,1.5701358,1.0588236,0.17420815,1.4977375,1.719457,2.5384614,1.7579185,1.3959277,2.9592762,1.4705883,1.9389141,2.6968327,2.3891404,2.4728508,3.0384617,3.0837104,2.6651585,2.8438914,control
GSM317416,0.019047622,0.0984127,0.06984127,0.15396826,0.02698413,0.057142857,0.058730163,0.03968254,0.10952382,0.22222224,0.18888889,0.1793651,0.23650794,0.31269845,0.34603176,0.12380953,0.06825397,0.45714286,0.50317466,0.21746033,0.49047622,0.16825399,0.61111116,0.5380953,0.53968257,0.16666667,0.24126986,0.4714286,0.89206356,0.58571434,1.3873017,0.7285715,0.21904764,0.8063492,0.97142863,1.1206349,0.9603175,0.78095245,0.6269842,0.7825397,1.3174604,1.3349206,1.0714287,2.3841271,0.87936515,1.352381,1.6317462,1.5682541,2.125397,0.8031746,1.520635,1.0492064,0.104761906,2.9952383,5.246032,2.5603178,1.8444445,0.4587302,3.4634922,2.2904763,2.4539685,3.8539686,2.44127,1.9968256,3.352381,2.877778,1.8095239,3.798413,control
GSM317418,0.11032864,0.016431926,0.02347418,0.058685448,0.03286385,0.086854465,0.17605634,0.079812214,0.02112676,0.06807512,0.23943663,0.29577467,0.12206573,0.3685446,0.37558687,0.13615024,0.058685448,0.049295776,0.443662,0.2746479,0.39201882,0.07042254,0.65023476,0.41314557,0.24413146,0.29812208,0.41079813,0.44835684,0.629108,0.6384977,0.9929578,1.3638498,1.0985916,1.4389671,0.96948355,0.88967144,0.45070425,0.9929578,0.39201882,0.673709,1.5187793,1.2676057,0.98356813,2.1079814,0.730047,1.258216,1.5140846,0.77230054,2.4295776,1.2065729,1.4788733,0.81690145,0.15023474,1.9835682,1.7558687,1.7276995,1.8497654,1.8098592,1.6361502,4.0399065,3.1431925,2.6314554,2.3521128,2.0469484,2.915493,2.0704226,1.6384978,4.6549296,control
GSM317421,0.014830508,0.12288136,0.06567796,0.07838983,0.023305086,0.086864404,0.24364407,0.048728812,0.059322033,0.20127119,0.34533897,0.06355932,0.32627118,0.093220346,0.48728815,0.29449153,0.17372881,0.059322033,0.19703391,0.3495763,0.59322035,0.04025424,0.49152544,0.7161017,0.69491524,0.720339,0.5677966,0.48093224,0.5529661,0.059322033,1.2118645,0.5466102,0.8622882,1.0805085,0.7966102,1.0360171,0.73093224,1.1144068,0.29872882,0.95127124,1.1398305,0.8834746,0.8368644,2.4110172,0.9830509,1.292373,1.5805085,1.0317796,1.8029661,1.1059322,1.6800848,0.9364407,0.27118644,2.4512713,1.4661016,2.4427967,2.006356,1.1271187,3.3686442,4.120763,2.809322,2.6737287,2.1080508,1.881356,3.6822035,2.7394068,2.2372882,3.561441,control
GSM317426,0.024096385,0.13253012,0.03313253,0.0753012,0.03313253,0.4066265,0.054216865,0.20783132,0.10843373,0.4307229,0.24698794,0.06626506,0.30421686,0.4638554,0.0873494,0.12650602,0.012048192,0.15361445,0.7620481,0.24096385,0.40361443,0.093373485,0.3885542,0.5963855,0.66566265,0.22289155,0.37349394,0.5722891,0.65361446,0.71385545,0.5903614,0.93072283,1.0843374,0.813253,1.2319278,0.9096385,1.1837349,1.0301205,0.813253,1.2469879,1.1415663,1.2951807,0.560241,1.2048192,1.0210843,0.9036144,1.2108433,1.0421686,1.7259035,0.7650602,1.0120481,1.5331326,0.14759035,1.5240963,1.8132529,1.4879518,2.0722892,0.7439759,2.2198794,2.3433735,3.1415663,2.2981927,1.9548192,2.2228916,2.9367468,2.563253,2.2379518,3.2319276,control
