216334_s_at,215516_at,AFFX-ThrX-5_at,208538_at,206488_s_at,201882_x_at,205699_at,218186_at,207656_s_at,220876_at,220766_at,216498_at,215943_at,215653_at,202608_s_at,216905_s_at,221380_at,209821_at,212769_at,213098_at,204014_at,214826_at,214441_at,209035_at,47105_at,209698_at,206102_at,220082_at,211966_at,217617_at,207571_x_at,215977_x_at,220323_at,206721_at,221581_s_at,213523_at,47530_at,212589_at,210127_at,209542_x_at,207172_s_at,219231_at,214785_at,208893_s_at,207180_s_at,219260_s_at,220335_x_at,214686_at,216375_s_at,221249_s_at,201354_s_at,202414_at,201363_s_at,208894_at,209688_s_at,202867_s_at,217981_s_at,205695_at,216457_s_at,219377_at,Group
0.050955415,0.3280255,0.21656051,0.12101911,0.50318474,0.4012739,0.37261146,0.098726116,0.06687898,0.035031848,0.37261146,0.31210193,0.31210193,0.53503186,0.07324841,0.3152866,0.22292994,0.2356688,0.4713376,0.5573248,0.38853502,0.6210191,0.21974523,0.90127385,0.9076433,0.82802546,0.5509554,1.1273886,0.67834395,1.1050956,0.53503186,0.5700637,0.45541403,1.289809,0.72292995,0.4968153,1.0732485,1.5605096,1.5541401,0.14649682,0.96496814,1.2929935,1.3535032,1.5031848,1.4267516,2.0286624,1.0828025,2.1114652,1.8821656,1.1974522,1.0923567,2.6433122,2.5700636,0.589172,2.1401274,1.6560509,2.0509555,1.0127388,2.9140127,1.6910828,bipolar
0.022452503,0.3074266,0.20725389,0.07772021,0.037996545,0.17271158,0.33678758,0.33678758,0.21243525,0.08117443,0.27979276,0.110535406,0.034542315,0.20207253,0.112262525,0.21243525,0.06908463,0.39205527,0.17789292,0.7081174,0.8963731,0.31606215,0.78411055,0.4507772,0.54404145,0.7253886,1.0397236,1.3022453,0.746114,1.1260794,0.44559586,0.9689119,1.2642486,1.0500864,0.164076,1.1364422,1.0604491,1.4749569,2.2469776,1.8566494,1.4870466,1.3678756,2.2797928,1.775475,1.4680483,2.8445597,1.5319515,1.6027634,2.7374785,1.6632125,2.043178,2.4542315,2.2521589,0.77202076,2.0414507,2.0241797,1.986183,0.58721936,2.4853194,2.0949914,bipolar
0.03736264,0.14065935,0.114285715,0.06373627,0.2769231,0.41318682,0.45934066,0.26373628,0.052747257,0.026373629,0.18241759,0.14285715,0.21758242,0.3802198,0.52087915,0.23516484,0.046153843,0.7032967,0.30989012,0.5912088,0.36483517,0.4087912,0.3802198,0.42197806,0.8857143,0.53626376,0.978022,0.8813187,0.745055,0.8219781,0.84175825,0.7032967,0.73626375,1.567033,0.2769231,1.0153847,1.3428571,1.1274725,1.2043957,0.52087915,1.7318683,1.1252748,1.7758243,2.356044,1.1516484,1.49011,1.8395604,2.3736265,1.5186813,1.7164835,3.2351649,1.9120879,2.4263737,0.2923077,1.923077,2.167033,1.3912088,1.301099,2.591209,2.3032968,bipolar
0.018018018,0.24099098,0.09684685,0.04954955,0.074324325,0.3581081,0.35135135,0.067567565,0.09009009,0.038288288,0.0990991,0.09684685,0.29054052,0.26576576,0.12162162,0.1036036,0.056306306,0.5540541,0.2972973,1.045045,0.4617117,0.5923423,0.6509009,0.8265766,0.7072072,0.5427928,0.8851351,1.0067568,0.536036,0.5608108,0.98198193,1.0135134,0.89639634,1.5585585,0.15765765,0.7477478,1.1216216,1.2094594,1.581081,0.87387383,1.259009,1.2882882,1.4459459,1.4549549,2.2432432,2.1846848,1.3603604,1.8671172,2.7815316,1.7927927,1.3716216,1.4999999,2.5495493,0.9572072,2.0608108,1.376126,2.7117116,0.9279279,2.8851352,3.2927926,bipolar
0.13974358,0.057692308,0.020512821,0.21923077,0.11794872,0.1653846,0.2551282,0.2153846,0.16794872,0.028205128,0.2846154,0.02948718,0.07564103,0.28333333,0.13461539,0.15384616,0.12179487,0.57051283,0.33589745,0.6769231,1.0205128,0.45128205,0.94871795,0.46153846,0.67564106,0.83717954,1.075641,0.6717949,0.73333335,0.9525642,1.0461538,0.7935898,0.48846152,1.1679487,0.48589745,1.0269231,1.1871794,1.1243589,1.024359,1.3153846,1.3269231,1.1397436,1.9384615,1.9910257,1.821795,2.5782053,1.0897436,2.6166668,2.3846154,1.4551282,1.8397436,1.6807693,2.8371797,1.5256411,2.325641,1.801282,2.2128205,0.9,2.5435896,2.5166667,bipolar
0.0982906,0.15811966,0.1837607,0.32478634,0.055555556,0.15384616,0.25641027,0.5,0.3846154,0.034188036,0.47863248,0.482906,0.50427353,0.52136755,0.055555556,0.52136755,0.31196582,0.84615386,0.6367521,0.4529915,0.0982906,0.6837607,0.24786326,1.2264957,0.99572647,1.0854701,0.6965812,0.508547,1.017094,1.931624,0.49572653,0.55128205,1.4358975,1.2008548,0.25213677,1.2393162,1.0128206,1.2393162,1.2307693,0.05982906,1.0897436,1.7735044,1.8589745,0.20940171,1.965812,1.2564102,2.1452992,1.7264959,1.7863249,2,2.2692308,2.8931623,2.0811968,0.17521368,1.8504274,1.0470086,1.6794872,2.2564104,2.3504274,1.8376069,bipolar
0.009779952,0.15158923,0.11491442,0.041564792,0.034229826,0.06356968,0.20537896,0.42298287,0.24938874,0.024449877,0.017114913,0.075794615,0.40097797,0.20537896,0.05378973,0.07823961,0.09535453,0.53056234,0.30317846,0.4816626,0.44498777,0.24449877,1.0880195,0.5794621,0.55256724,0.78728604,0.34474328,1.0195599,0.9022005,0.75061125,1.0391198,0.9388753,0.85330075,1.0513448,0.45721272,0.9535452,0.7237164,1.1320293,0.87286067,0.53056234,1.6454768,1.8973105,1.4792175,1.6943766,2.2860634,1.376528,1.5183374,2.782396,1.589242,2.0831294,2.2347188,1.396088,2.5647922,0.74816626,1.8899755,1.5256724,1.806846,7.7261615,2.4327629,3.3154035,bipolar
0.016513761,0.14128439,0.049541283,0.023853209,0.036697246,0.06972477,0.22568807,0.3302752,0.06238532,0.011009174,0.078899086,0.033027522,0.047706418,0.4330275,0.21651375,0.044036698,0.078899086,0.8183486,0.2880734,0.7302752,1.157798,0.36697245,0.9284403,0.30458716,0.64403665,0.6330275,0.97798157,0.7743119,0.4770642,0.5688073,0.7889908,0.77064216,0.640367,1.2110091,0.19999999,1.025688,0.9706422,1.5247705,1.2348624,0.029357797,1.3045871,1.6605504,2.3009174,1.8825687,1.9155962,2.3339448,0.99999994,2.6348624,2.7669723,1.4880733,1.9247706,2.411009,2.517431,1.0752293,1.5009174,2.1651375,2.7302752,1.4587156,2.7229354,2.546789,bipolar
0.09767442,0.018604651,0.037209302,0.027906977,0.007751938,0.27751938,0.29147285,0.15503876,0.024806201,0.03255814,0.23255813,0.05736434,0.351938,0.21860465,0.24806201,0.031007752,0.17674418,0.32093024,0.24341086,0.5271318,0.53643405,0.45736435,0.54573643,0.53023255,0.56589144,0.751938,0.83875966,0.27596897,0.77984494,1.0139536,1.0604651,0.6108527,0.91782945,1.5736434,0.48372093,1.0294573,1.1193798,1.3937985,1.275969,0.62015504,1.1038759,1.2697674,1.6511627,1.3674418,1.5162791,1.8930233,1.751938,3.308527,1.620155,1.5875969,1.8852713,2.3472867,2.4744186,0.7209302,1.8356589,2.448062,2.6759691,1.2434108,2.8387597,2.7891471,bipolar
0.02197802,0.20329669,0.034340657,0.24313186,0.3186813,0.0576923,0.5892857,0.26785713,0.22390108,0.023351647,0.25961536,0.10851648,0.3502747,0.39972526,0.22527471,0.1153846,0.04807692,0.15521978,0.260989,1.1126373,0.146978,0.1098901,1.0425824,0.40521976,0.6456044,0.73901093,1.4780219,1.0810438,0.67307687,0.56730765,1.9271977,0.82554936,0.60851645,1.7554945,0.55219775,2.0590658,0.60164833,1.3392856,1.043956,0.19230768,1.1318681,2.1991758,2.1071427,0.06730769,0.7843406,1.2596153,1.35989,2.6675823,1.1991758,2.7870877,3.690934,2.5384614,2.767857,0.760989,2.2335165,0.907967,2.0590658,0.85439557,1.811813,2.656593,bipolar
