ID_REF,GSM317385,GSM317386,GSM317388,GSM317389,GSM317391,GSM317396,GSM317397,GSM317399,GSM317401,GSM317403,GSM317404,GSM317406,GSM317411,GSM317415,GSM317417,GSM317419,GSM317425,GSM317429,GSM317431,GSM317433,GSM317439,GSM317440,GSM317443,GSM317444,GSM317445,GSM317446,GSM317451,GSM317454,GSM317456,GSM317458,GSM317479,GSM317483,GSM317485,GSM317398,GSM317402,GSM317407,GSM317410,GSM317412,GSM317413,GSM317416,GSM317418,GSM317421,GSM317426,GSM317432,GSM317434,GSM317435,GSM317436,GSM317438,GSM317441,GSM317442,GSM317447,GSM317449,GSM317452,GSM317453,GSM317459,GSM317461,GSM317462,GSM317465,GSM317466,GSM317468,GSM317471,GSM317472,GSM317476,GSM317477,GSM317480,GSM317484,GSM317486,
216334_s_at,0.050955415,0.022452503,0.03736264,0.018018018,0.13974358,0.0982906,0.009779952,0.016513761,0.09767442,0.02197802,0.055072464,0.036199097,0.060465112,0.057192374,0.097165994,0.016997168,0.056603774,0.02547771,0.04639175,0.030567687,0.12416107,0.01986755,0.022222223,0.042222224,0.035989713,0.008528785,0.20111732,0.011173185,0.019607842,0.15413533,0.055999998,0.015337424,0.021897811,0.019650655,0.015290519,0.03264095,0.010615712,0.011834321,0.015837105,0.007936508,0.016431926,0.016949153,0.024096385,0.010416667,0.07526881,0.012135922,0.018018018,0.006514658,0.07317074,0.02131783,0.008670521,0.016746411,0.028199565,0.053072628,0.057534244,0.013729977,0.035269707,0.015503876,0.032258064,0.03547672,0.021327013,0.012396694,0.09454545,0.013297873,0.026190476,0.027027026,0.018518519,28.93234461
215516_at,0.3280255,0.3074266,0.14065935,0.24099098,0.057692308,0.15811966,0.15158923,0.14128439,0.018604651,0.20329669,0.017391305,0.24660634,0.31627908,0.19930676,0.12550607,0.22096318,0.32830188,0.006369427,0.28350514,0.4410481,0.16442953,0.2615894,0.21851853,0.10666668,0.07969151,0.09168444,0.20111732,0.09776537,0.019607842,0.34962404,0.04,0.121165656,0.11678833,0.13318779,0.021406727,0.2240356,0.021231424,0.027613413,0.013574662,0.0920635,0.08920188,0.038135592,0.14457831,0.005208334,0.069892466,0.012135922,0.009009009,0.026058633,0.030487806,0.01744186,0.28034684,0.0215311,0.06941432,0.019553073,0.21917808,0.09153318,0.1286307,0.06395349,0.027295286,0.11973393,0.011848341,0.24793388,0.21818182,0.17819148,0.004761905,0.013513513,0.04398148,13.19131766
AFFX-ThrX-5_at,0.21656051,0.20725389,0.114285715,0.09684685,0.020512821,0.1837607,0.11491442,0.049541283,0.037209302,0.034340657,0.055072464,0.04751131,0.27906978,0.110918544,0.08097166,0.22096318,0.354717,0.16985139,0.45360824,0.29257643,0.2818792,0.13576159,0.044444446,0.08888889,0.19794343,0.03411514,0.04469274,0.039106146,0.032679737,0.13909774,0.252,0.16104296,0.2189781,0.026200876,0.033639144,0.15727003,0.057324845,0.013806706,0.19683258,0.19206351,0.02347418,0.059322033,0.042168673,0.14583333,0.032258064,0.06310679,0.02027027,0.247557,0.03658537,0.04069767,0.20231214,0.04784689,0.106290676,0.2206704,0.12602739,0.011441647,0.035269707,0.03875969,0.044665013,0.028824834,0.021327013,0.016528925,0.03272727,0.1356383,0.026190476,0.02027027,0.113425925,12.81924639
208538_at,0.12101911,0.07772021,0.06373627,0.04954955,0.21923077,0.32478634,0.041564792,0.023853209,0.027906977,0.24313186,0.04057971,0.43438917,0.49302328,0.0779896,0.026315788,0.045325782,0.41132075,0.08280256,0.077319585,0.1048035,0.08724832,0.026490066,0.29259259,0.05111111,0.113110535,0.053304903,0.027932962,0.03072626,0.22222222,0.086466156,0.136,0.088957064,0.43065697,0.030567687,0.25993884,0.028189909,0.033970278,0.06311637,0.07013574,0.08095238,0.12910798,0.038135592,0.0873494,0.052083332,0.032258064,0.029126214,0.033783782,0.03583062,0.18902439,0.027131783,0.054913297,0.0430622,0.052060742,0.04469274,0.035616435,0.0389016,0.029045641,0.029069766,0.05210918,0.20177385,0.06398104,0.028925618,0.03272727,0.03989362,0.04047619,0.047297295,0.023148147,11.78178289
206488_s_at,0.50318474,0.037996545,0.2769231,0.074324325,0.11794872,0.055555556,0.034229826,0.036697246,0.007751938,0.3186813,0.36231884,0.4321267,0.2837209,0.055459272,0.12348178,0.045325782,0.064150944,0.023354568,0.05670103,0.23580788,0.077181205,0.07284768,0.14074074,0.097777784,0.31362465,0.10660981,0.027932962,0.11731844,0.010893246,0.12030075,0.22,0.121165656,0.047445256,0.12227075,0.08562691,0.2818991,0.35244164,0.19132149,0.23981902,0.031746034,0.09859155,0.038135592,0.07831325,0.3828125,0.091397844,0.3859223,0.22747748,0.14006515,0.07926829,0.19573644,0.3063584,0.1076555,0.1713666,0.48882684,0.21917808,0.27688786,0.20331949,0.31976745,0.21339951,0.082039915,0.20379147,0.29338843,0.20363635,0.20744681,0.15238096,0.34459457,0.25,11.55878686
201882_x_at,0.4012739,0.17271158,0.41318682,0.3581081,0.1653846,0.15384616,0.06356968,0.06972477,0.27751938,0.0576923,0.057971016,0.3529412,0.40930232,0.28076258,0.08502024,0.29461756,0.12830189,0.13375798,0.48453605,0.12227075,0.0704698,0.5033112,0.33703706,0.37333333,0.071979426,0.08955224,0.37430167,0.1480447,0.1503268,0.07142857,0.28,0.27300614,0.310219,0.07641922,0.10703363,0.39762607,0.09766455,0.11439843,0.042986427,0.114285715,0.079812214,0.13135593,0.15361445,0.041666668,0.053763438,0.087378636,0.123873875,0.1237785,0.085365854,0.046511628,0.11560694,0.13636364,0.1713666,0.09217878,0.12054795,0.33867276,0.08921162,0.062015504,0.099255584,0.23946786,0.32464454,0.057851236,0.09454545,0.042553194,0.061904762,0.04054054,0.2847222,11.5230921
205699_at,0.37261146,0.33678758,0.45934066,0.35135135,0.2551282,0.25641027,0.20537896,0.22568807,0.29147285,0.5892857,0.5217391,0.3529412,0.21860464,0.26169845,0.3016194,0.22096318,0.018867925,0.38641194,0.19587629,0.57641923,0.2852349,0.205298,0.24814814,0.14222223,0.5758354,0.25799575,0.41899443,0.4441341,0.1590414,0.59774435,0.372,0.17177916,0.27372265,0.27729258,0.20795107,0.21513352,0.25902337,0.2820513,0.022624435,0.21904764,0.21361504,0.13135593,0.21385542,0.25260416,0.23655914,0.21359223,0.37837836,0.016286645,0.018292684,0.03875969,0.0982659,0.1985646,0.44034708,0.033519555,0.3452055,0.27688786,0.3879668,0.20736434,0.2853598,0.33481157,0.2085308,0.012396694,0.014545455,0.19414894,0.15238096,0.047297295,0.2847222,9.72438429
218186_at,0.098726116,0.33678758,0.26373628,0.067567565,0.2153846,0.5,0.42298287,0.3302752,0.15503876,0.26785713,0.5536232,0.32126698,0.34418604,0.16291161,0.2834008,0.19546743,0.079245284,0.32908708,0.6082474,0.30131006,0.32885906,0.27814567,0.08148149,0.29111114,0.51156807,0.13219616,0.35195532,0.31284916,0.18736385,0.16917293,0.592,0.19631903,0.29562047,0.4257642,0.27828747,0.23293768,0.20806795,0.2524655,0.10859729,0.21746033,0.039906107,0.012711865,0.11445782,0.203125,0.016129032,0.1699029,0.286036,0.055374596,0.20731708,0.12790698,0.124277465,0.0861244,0.060737528,0.31843576,0.26849315,0.27231118,0.085062236,0.08139534,0.084367245,0.23503327,0.059241705,0.012396694,0.5272727,0.19414894,0.36666667,0.3243243,0.13888888,9.556252214
207656_s_at,0.06687898,0.21243525,0.052747257,0.09009009,0.16794872,0.3846154,0.24938874,0.06238532,0.024806201,0.22390108,0.62028986,0.35067874,0.26976746,0.28249565,0.07692307,0.388102,0.39245284,0.23566881,0.20618556,0.19650656,0.08389261,0.052980132,0.074074075,0.060000002,0.09511568,0.3944563,0.106145255,0.12569833,0.119825706,0.09022556,0.12399999,0.2131902,0.076642334,0.050218344,0.064220175,0.043026704,0.09341827,0.18343195,0.03167421,0.0984127,0.14553991,0.06144068,0.036144577,0.015625,0.6397849,0.029126214,0.06081081,0.06840391,0.12195122,0.029069766,0.043352604,0.09569378,0.052060742,0.16201119,0.057534244,0.07551487,0.08091286,0.031007752,0.034739453,0.07538803,0.030805685,0.028925618,0.08363636,0.050531916,0.07619048,0.16216215,0.071759254,9.08134778
220876_at,0.035031848,0.08117443,0.026373629,0.038288288,0.028205128,0.034188036,0.024449877,0.011009174,0.03255814,0.023351647,0.055072464,0.042986427,0.037209302,0.064124785,0.030364372,0.016997168,0.056603774,0.07643312,0.20103092,0.061135374,0.05033557,0.026490066,0.11481481,0.042222224,0.05398457,0.031982943,0.06145252,0.025139665,0.35729846,0.052631576,0.036,0.01840491,0.025547447,0.25764194,0.6911315,0.062314536,0.084925696,0.041420117,0.21266969,0.29682544,0.24413146,0.084745765,0.045180723,0.065104164,0.021505376,0.036407765,0.04054054,0.03583062,0.030487806,0.11821705,0.046242777,0.23444977,0.04338395,0.055865925,0.09315069,0.027459955,0.039419085,0.029069766,0.3076923,0.06873614,0.07109004,0.08264463,0.02909091,0.045212768,0.2404762,0.23648648,0.032407407,8.41011737
