ID_REF,GSM317398,GSM317402,GSM317407,GSM317410,GSM317412,GSM317413,GSM317416,GSM317418,GSM317421,GSM317426,GSM317432,GSM317434,GSM317435,GSM317436,GSM317438,GSM317441,GSM317442,GSM317447,GSM317449,GSM317452,GSM317453,GSM317459,GSM317461,GSM317462,GSM317465,GSM317466,GSM317468,GSM317471,GSM317472,GSM317476,GSM317477,GSM317480,GSM317484,GSM317486,GSM317387,GSM317390,GSM317392,GSM317393,GSM317394,GSM317395,GSM317400,GSM317405,GSM317408,GSM317409,GSM317414,GSM317420,GSM317422,GSM317423,GSM317424,GSM317427,GSM317428,GSM317430,GSM317437,GSM317448,GSM317450,GSM317455,GSM317457,GSM317460,GSM317463,GSM317464,GSM317467,GSM317469,GSM317470,GSM317473,GSM317474,GSM317475,GSM317478,GSM317481,GSM317482,Calc
215219_at,0.17248909,0.030581038,0.023738872,0.01910828,0.01775148,0.024886878,0.019047622,0.11032864,0.014830508,0.024096385,0.015625,0.059139784,0.016990291,0.018018018,0.03583062,0.1097561,0.03488372,0.054913297,0.05741627,0.03253796,0.18715084,0.076712325,0.011441647,0.07676348,0.019379845,0.019851116,0.015521065,0.03791469,0.016528925,0.021818181,0.05585106,0.014285715,0.18918918,0.018518519,0.034666665,0.018237082,0.020775624,0.030107526,0.042410716,0.03757829,0.019642858,0.024475524,0.013333334,0.033519555,0.010928962,0.018099548,0.011396012,0.020408165,0.024657533,0.02078522,0.017175572,0.021505376,0.015280135,0.019230768,0.012224939,0.010570825,0.022222223,0.042895444,0.01754386,0.020114942,0.013937282,0.014028056,0.020289855,0.013752456,0.015332197,0.019277109,0.020253165,0.023346303,0.019578312,30.75284715
208245_at,0.004366813,0.02446483,0.008902078,0.08067941,0.011834321,0.20135747,0.0984127,0.016431926,0.12288136,0.13253012,0.065104164,0.021505376,0.12864077,0.13288288,0.013029316,0.03658537,0.005813954,0.17341042,0.028708136,0.036876358,0.10055866,0.25753424,0.009153318,0.10580912,0.013565891,0.079404466,0.09977828,0.06398104,0.14049587,0.014545455,0.14361703,0.17857143,0.02027027,0.013888889,0.208,0.012158054,0.088642664,0.006451613,0.04017857,0.073068894,0.08035715,0.13986014,0.08,0.18156426,0.101092905,0.10859729,0.12250713,0.16666667,0.043835618,0.09237876,0.19656488,0.12365591,0.07640068,0.25274724,0.31295845,0.09725159,0.06944445,0.3163539,0.13596492,0.17528735,0.20383276,0.09418837,0.17681159,0.106090374,0.015332197,0.04337349,0.16962025,0.08949416,0.094879515,18.3930856
210506_at,0.021834062,0.045871556,0.2982196,0.042462848,0.05128205,0.040723983,0.06984127,0.02347418,0.06567796,0.03313253,0.21874999,0.043010753,0.048543688,0.04954955,0.19869706,0.067073174,0.027131783,0.03179191,0.045454547,0.047722343,0.31843576,0.043835618,0.04576659,0.04356846,0.04069767,0.074441686,0.028824834,0.03554502,0.03719008,0.05818182,0.061170213,0.07619048,0.027027026,0.032407407,0.018666666,0.05471124,0.037396125,0.025806453,0.035714287,0.020876827,0.025,0.03146853,0.024,0.03631285,0.024590164,0.020361992,0.06552707,0.034013607,0.049315065,0.030023096,0.047709923,0.06451613,0.02886248,0.030219778,0.019559903,0.025369981,0.025,0.06702413,0.039473683,0.048850577,0.040069688,0.018036071,0.028985508,0.015717093,0.028960818,0.024096385,0.027848102,0.031128405,0.06325301,18.26145699
220418_at,0.041484717,0.22324158,0.11721068,0.07855627,0.15581855,0.05882353,0.15396826,0.058685448,0.07838983,0.0753012,0.15104167,0.112903215,0.053398058,0.08558559,0.06188925,0.12195122,0.062015504,0.06936417,0.28708136,0.06290673,0.17039107,0.12054795,0.36155605,0.03319502,0.116279066,0.042183623,0.015521065,0.023696681,0.041322313,0.087272726,0.082446806,0.05714286,0.10135135,0.08333333,0.026666667,0.04255319,0.033241,0.021505376,0.017857144,0.029227557,0.12142858,0.027972028,0.08,0.32960895,0.024590164,0.04751131,0.011396012,0.08163266,0.043835618,0.039260972,0.04389313,0.06451613,0.027164686,0.07692307,0.058679707,0.32980976,0.07777778,0.056300264,0.105263166,0.03448276,0.022648083,0.024048097,0.08695652,0.01178782,0.028960818,0.016867468,0.24303798,0.038910504,0.04066265,16.0859859
220622_at,0.015283844,0.015290519,0.010385756,0.02760085,0.0295858,0.036199097,0.02698413,0.03286385,0.023305086,0.03313253,0.033854164,0.053763438,0.029126214,0.022522522,0.03257329,0.04878049,0.032945737,0.03179191,0.0215311,0.04338395,0.039106146,0.02739726,0.26773453,0.099585064,0.031007752,0.05955335,0.09534369,0.014218009,0.024793388,0.10545455,0.21010639,0.061904762,0.04054054,0.04861111,0.034666665,0.045592703,0.16481994,0.036559142,0.017857144,0.07098121,0.030357145,0.02097902,0.032,0.05027933,0.019125683,0.15837105,0.11111112,0.034013607,0.36712328,0.1039261,0.27862597,0.24193548,0.21222411,0.13736263,0.112469435,0.061310787,0.2,0.053619303,0.039473683,0.025862068,0.04181185,0.046092182,0.07536232,0.09823182,0.03236797,0.053012047,0.06329114,0.13229571,0.034638554,15.84288789
214565_s_at,0.06331878,0.1529052,0.08456973,0.17834395,0.2366864,0.25339368,0.057142857,0.086854465,0.086864404,0.4066265,0.15885416,0.15591398,0.0461165,0.1036036,0.06840391,0.26219514,0.40310076,0.0982659,0.055023924,0.12364425,0.32122907,0.0849315,0.06864988,0.29668048,0.26550388,0.13895781,0.05764967,0.033175353,0.07438016,0.3272727,0.077127665,0.0952381,0.13513513,0.05787037,0.15466668,0.13677812,0.06786704,0.034408603,0.035714287,0.0605428,0.042857148,0.1013986,0.064,0.12569833,0.04371585,0.056561086,0.022792025,0.06462585,0.13150686,0.09468822,0.091603056,0.10215053,0.08658744,0.1565934,0.06601467,0.09725159,0.15833333,0.11260053,0.078947365,0.06896552,0.2804878,0.036072142,0.1884058,0.033398822,0.069846675,0.036144577,0.043037977,0.054474704,0.031626504,14.29035732
214244_s_at,0.026200876,0.021406727,0.040059347,0.02760085,0.047337282,0.18099548,0.058730163,0.17605634,0.24364407,0.054216865,0.026041666,0.29032257,0.053398058,0.08108108,0.045602605,0.1097561,0.20930232,0.06936417,0.059808612,0.06507592,0.2960894,0.27123287,0.03432494,0.06639004,0.12015504,0.05707196,0.13747229,0.18246444,0.03305785,0.03272727,0.05319149,0.15476191,0.033783782,0.1412037,0.23733333,0.3525836,0.02631579,0.098924726,0.27232143,0.19832985,0.17142859,0.3881119,0.029333334,0.23463687,0.41530058,0.17420815,0.051282052,0.04081633,0.37260276,0.15242495,0.28435114,0.3548387,0.21731749,0.07142857,0.20782396,0.25158563,0.2388889,0.24664879,0.039473683,0.33333334,0.108013935,0.13827655,0.17391305,0.102161095,0.02725724,0.06024096,0.22278482,0.3929961,0.14006025,13.99279431
207899_at,0.054585155,0.4006116,0.08160237,0.24628453,0.027613413,0.28054297,0.03968254,0.079812214,0.048728812,0.20783132,0.033854164,0.10215053,0.07038835,0.04954955,0.08469055,0.16463415,0.20348836,0.0982659,0.05741627,0.060737528,0.11452515,0.073972605,0.11441647,0.1078838,0.08139534,0.079404466,0.06430156,0.056872036,0.049586777,0.0690909,0.1356383,0.1904762,0.45270267,0.03472222,0.055999998,0.04255319,0.029085873,0.040860213,0.049107146,0.05427975,0.07678572,0.05944056,0.064,0.09776537,0.046448093,0.03846154,0.04558405,0.08163266,0.101369865,0.06466513,0.08778626,0.0672043,0.052631576,0.10714285,0.10024449,0.06342495,0.03611111,0.053619303,0.06140351,0.04597701,0.071428575,0.03807615,0.46086955,0.041257367,0.039182283,0.0313253,0.025316456,0.058365755,0.052710842,12.60321546
216373_at,0.11353712,0.039755348,0.22106823,0.16560511,0.013806706,0.12669684,0.10952382,0.02112676,0.059322033,0.10843373,0.046874996,0.47849458,0.12864077,0.23198198,0.09120521,0.030487806,0.13759689,0.017341042,0.20813397,0.09544469,0.12290504,0.07123287,0.03661327,0.14315352,0.1744186,0.21091811,0.082039915,0.11374407,0.028925618,0.38181818,0.32978722,0.13571428,0.33783782,0.12268519,0.30666667,0.015197568,0.02493075,0.058064517,0.23883928,0.008350731,0.28392857,0.01048951,0.25066665,0.005586593,0.23224045,0.024886878,0.022792025,0.013605443,0.008219179,0.011547345,0.030534351,0.01344086,0.020373516,0.101648346,0.007334963,0.048625793,0.005555556,0.024128685,0.030701755,0.048850577,0.087108016,0.26853707,0.060869563,0.17288801,0.005110733,0.17108433,0.010126582,0.12451362,0.20933734,12.1582576
217166_at,0.13537118,0.119266056,0.1439169,0.24840766,0.13806707,0.18778281,0.22222224,0.06807512,0.20127119,0.4307229,0.29427084,0.24731182,0.15048543,0.3873874,0.042345274,0.085365854,0.31007752,0.15606937,0.215311,0.20824297,0.31005588,0.3068493,0.26086953,0.19917013,0.2112403,0.13151366,0.29268295,0.25592417,0.09504132,0.05818182,0.22606383,0.092857145,0.64189184,0.5393518,0.2,0.3161094,0.17867036,0.3956989,0.49107143,0.302714,0.33035716,0.32517484,0.24533333,0.4469274,0.36065575,0.24886878,0.5099715,0.28231293,0.24657534,0.32101616,0.055343512,0.17473118,0.2393888,0.22802196,0.23716381,0.21353067,0.41944447,0.28150135,0.20614034,0.21551724,0.2996516,0.34068137,0.34492752,0.3968566,0.28279388,0.30602407,0.34430382,0.28793773,0.29668674,9.024767684
