ID_REF,200987_x_at,201219_at,201386_s_at,201866_s_at,201898_s_at,202066_at,202300_at,202479_s_at,202489_s_at,202688_at,203168_at,203676_at,203851_at,203874_s_at,204047_s_at,204151_x_at,204391_x_at,204493_at,204557_s_at,204633_s_at,204806_x_at,204846_at,204863_s_at,204880_at,205404_at,205726_at,205984_at,206174_s_at,206925_at,206989_s_at,207266_x_at,207757_at,207899_at,208245_at,208601_s_at,208882_s_at,208944_at,209015_s_at,209156_s_at,209493_at,209523_at,209699_x_at,209735_at,209788_s_at,209959_at,210210_at,210506_at,210639_s_at,211582_x_at,211653_x_at,211794_at,211799_x_at,211904_x_at,212094_at,212238_at,212294_at,213680_at,213694_at,213900_at,214244_s_at,214283_at,214379_at,214565_s_at,215219_at,215663_at,215814_at,216373_at,216457_s_at,216652_s_at,217166_at,217380_s_at,217536_x_at,217757_at,217855_x_at,217863_at,217961_at,218075_at,218259_at,218357_s_at,218411_s_at,218454_at,219324_at,219530_at,219595_at,219699_at,219731_at,219869_s_at,220418_at,220433_at,220622_at,220641_at,220691_at,221011_s_at,221715_at,221780_s_at,221966_at,221967_at,222217_s_at,222273_at,52741_at,Group
GSM317398,5.8078604,0.7969433,11.111354,3.6200876,3.2423582,3.052402,17.058952,2.574236,0.9563319,0.91703063,0.6353712,1.3296944,2.4213974,2.6157207,0.61572057,9.078603,2.0283844,1.8624456,1.7336246,5.8930135,3.6746728,0.34061137,0.21397382,1.5611354,2.0982533,1.8689957,2.338428,7.4366817,0.19650656,1.7554586,2.982533,0.22270744,0.054585155,0.004366813,0.37991267,3.731441,2.231441,1.0720525,0.43668124,8.213975,2.4410481,3.4410484,6.1484723,0.5786027,1.7772927,0.8231442,0.021834062,2.6637557,0.38646293,3.5021834,0.19213976,1.8777294,0.019650655,8.668123,2.7423582,1.8646289,0.16157207,2.79476,1.6724892,0.026200876,0.5895197,0.34497818,0.06331878,0.17248909,0.09606988,0.04585153,0.11353712,3.0742362,1.6746725,0.13537118,0.23580788,0.09606988,15.644106,6.078603,2.7663755,2.8296945,0.9650656,20.572054,13.956333,0.8493451,0.15502185,2.106987,1.1179041,2.213974,1.187773,1.2117904,1.048035,0.041484717,0.07641922,0.015283844,0.2074236,0.36244544,3.2161574,0.13537118,1.746725,1.3144106,1.2510917,1.0960699,1.4585154,1.1790394,control
GSM317402,7.1957183,0.79816514,17.171253,4.770642,3.883792,1.7920488,17.46483,3.8501527,0.079510696,1.620795,0.50152904,1.211009,3.7370028,2.8501527,0.49541286,6.6697245,1.53211,2.0366971,1.3486238,4.085627,5.2629967,0.16207951,0.26605502,1.3119266,2.2201834,2.7798164,2.3119264,6.889908,0.12538226,1.0061163,4.6758404,1.0519878,0.4006116,0.02446483,0.66360855,2.6238532,2.7461774,0.9235474,0.5749235,6.9663606,1.6177369,4.6330276,5.7278285,0.18960243,2.058104,1.211009,0.045871556,3.0458715,0.8318043,3.7920487,0.10091743,1.6299694,0.45565745,4.146789,2.5504587,1.1100917,0.079510696,2.8990824,1.2201835,0.021406727,0.9908257,0.3761468,0.1529052,0.030581038,0.25382262,0.27522933,0.039755348,5.3577976,1.4556574,0.119266056,0.04892966,0.28746176,17.07951,5.4036694,1.2538226,2.9051986,1.2262996,14.357798,18.672781,0.82568806,0.039755348,1.5779816,1.2507645,2.6146789,0.9388379,1.4801223,1.4954128,0.22324158,0.38226297,0.015290519,1.0764526,0.5688073,4.030581,0.5045871,2.330275,1.7308867,0.9357798,1.2691131,1.0214068,1.556575,control
GSM317407,3.864985,1.15727,7.62908,2.3427298,3.2997031,3.008902,12.618694,2.15727,0.047477745,1.1023738,1.4332343,0.8902077,2.3664687,3.013353,0.65578634,4.850148,1.2893175,1.3249258,1.5934718,6.304154,2.869436,0.33531156,1.1038575,1.249258,2.689911,2.0222552,1.5252225,4.4376855,0.17507418,2.2284865,1.7611275,0.5504451,0.08160237,0.008902078,0.050445102,2.8412461,1.8204746,0.74629074,0.6780415,6.376854,2.498516,3.620178,2.8961422,0.6231454,1.8353114,0.51186943,0.2982196,1.6913946,0.5548961,3.8026702,0.7759644,0.86201775,0.20474777,7.6750736,1.8768545,2.7344213,0.615727,3.4406526,2.4703264,0.040059347,1.1305637,0.45845696,0.08456973,0.023738872,0.21513352,0.14985164,0.22106823,2.2566767,0.97626114,0.1439169,0.5281899,0.17507418,12.210682,3.1038575,2.8175073,2.4510384,1.5905043,16.91543,10.176558,0.9020771,0.33679524,1.4569732,1.12908,2.37092,0.59940654,0.9406528,0.60979223,0.11721068,0.28635013,0.010385756,0.68991095,0.37833828,2.5608308,0.53857565,0.95845693,2.0103858,0.9732937,0.6854599,1.3026706,0.80563796,control
GSM317410,3.666667,0.7940553,7.7048836,2.653928,2.9320598,2.5668793,13.227178,2.52017,0.14012739,1.0976646,1.1252655,0.45222932,2.1740978,2.0679407,0.656051,4.868366,1.6157113,1.0806795,1.3651806,5.2993636,2.6454353,0.5414013,0.90870494,1.2314225,1.1380043,2.1210194,1.8747348,4.713376,0.23779194,1.5244163,2.193206,0.5456476,0.24628453,0.08067941,0.070063695,3.131635,1.9193208,0.7813164,0.67303616,7.2951174,1.9639068,3.8089173,3.1337583,0.37579623,1.6921444,0.7961784,0.042462848,1.7961785,0.18471338,3.5838645,0.11889597,1.101911,0.22929938,6.1146502,1.774947,2.0912952,0.34394908,3.9002125,1.4628452,0.02760085,1.0764332,0.59660304,0.17834395,0.01910828,0.3099788,0.19745225,0.16560511,1.819533,1.0318471,0.24840766,0.07643312,0.2059448,11.231423,3.3736732,1.8174099,2.1719747,0.98301494,15.772825,10.921445,0.7643313,0.21868367,1.6900213,1.3290871,1.7324842,1.0360935,0.9745224,1.1507432,0.07855627,0.5010616,0.02760085,0.47558388,0.50530785,2.81741,0.789809,1.29724,0.50955415,0.7112527,1.0743101,1.6624205,1.2292994,control
GSM317412,5.0493097,1.0493097,8.808679,3.566075,3.0927024,2.224852,14.499014,2.948718,0.29980275,1.3550296,0.5838264,0.58185405,2.0552268,2.698225,0.678501,5.3510847,1.7455622,2.2998028,1.923077,5.8658776,4.8816566,0.17159763,0.75147927,1.5917159,1.6232742,2.1755426,1.6587771,5.0216966,0.0591716,2.504931,2.6390533,0.90729785,0.027613413,0.011834321,0.06903353,3.0177515,2.2919133,0.7218935,0.67455626,7.932939,2.4240632,3.4497042,4.4516764,0.67061144,1.8461539,0.88757396,0.05128205,1.8737673,0.3116371,3.1715977,0.24457593,1.4930966,0.30177516,6.3037477,1.7731756,1.7258383,0.18145956,4.1913214,1.4595661,0.047337282,0.8126233,0.37869826,0.2366864,0.01775148,0.28796846,0.09072978,0.013806706,2.366864,1.285996,0.13806707,0.4122288,0.07692308,13.353057,3.852071,2.6548326,2.0039449,1.3392506,18.315582,11.274161,0.9526627,0.092702165,1.4378699,0.94280076,2.3333335,0.6646943,1.2071006,1.0118343,0.15581855,0.17159763,0.0295858,0.4852071,0.8639053,2.4615386,0.27218935,1.6370809,1.6607494,0.84023666,0.98224854,2.0532544,0.8974359,control
GSM317413,3.5113122,0.8552036,4.2624435,1.4705883,1.8574661,2.9253395,11.052036,1.9389141,0.06787331,1.3959277,1.6877828,0.24886878,2.6651585,3.0384617,0.300905,4.719457,1.2466063,0.8529412,1.8529413,4.5904975,2.678733,0.17420815,1.061086,1.5701358,1.0429864,2.3891404,0.581448,4.063349,0.19004524,1.4977375,2.0882354,0.5565611,0.28054297,0.20135747,0.05882353,3.382353,1.6244345,0.7692308,0.9932127,9.115385,2.9592762,3.138009,2.8438914,0.11764706,1.719457,1.545249,0.040723983,0.9638009,0.44343895,2.5316744,0.6877828,1.0588236,0.4841629,8.647059,1.7579185,3.199095,0.18552037,4.2262444,2.4728508,0.18099548,0.73981905,0.5294118,0.25339368,0.024886878,0.08144797,0.1923077,0.12669684,2.5769231,0.5701358,0.18778281,0.59049773,0.3846154,11.527149,4.49095,2.6968327,3.0837104,2.4230769,20.567873,12.133484,0.7850679,0.24660634,1.5950227,1.5022625,3.036199,0.32126698,1.0226245,0.69004524,0.05882353,0.10859729,0.036199097,0.9004525,0.7285068,3.0565612,1.3936652,1.8054299,1.3076923,1.0429864,1.6583711,2.5384614,1.142534,control
GSM317416,4.471429,1.1206349,7.325397,2.2904763,2.5809526,3.5380952,10.963493,2.4539685,0.16825399,0.4587302,0.21904764,0.4714286,1.8095239,3.352381,0.61111116,4.7888894,2.125397,1.673016,2.3841271,5.5428576,3.009524,0.104761906,0.58571434,1.520635,1.4761906,2.44127,1.0920635,4.896826,0.18888889,2.9952383,2.5730162,0.53968257,0.03968254,0.0984127,0.1793651,3.98254,2.236508,0.8031746,0.89206356,8.969841,3.4634922,3.320635,3.798413,0.24126986,5.246032,0.87936515,0.06984127,1.4507937,0.12380953,3.1523812,0.12380953,1.0492064,0.23650794,9.98889,1.8444445,2.8507938,0.50317466,3.603175,1.9968256,0.058730163,0.7285715,0.49047622,0.057142857,0.019047622,0.21746033,0.45714286,0.10952382,2.4190476,0.8063492,0.22222224,0.34603176,0.06825397,13.253969,4.5793653,3.8539686,2.877778,1.3349206,20.37619,12.273017,1.3873017,0.5380953,1.6317462,1.352381,2.6666667,0.16666667,1.3174604,1.0714287,0.15396826,0.31269845,0.02698413,0.7825397,0.48571432,3.7063494,0.6269842,1.4015875,1.5682541,0.97142863,0.9603175,2.5603178,0.78095245,control
GSM317418,4.7253523,0.88967144,13.298122,4.0399065,3.3403757,3.3943665,17.103287,3.1431925,0.07042254,1.8098592,1.0985916,0.44835684,1.6384978,2.915493,0.65023476,5.8169017,2.4295776,1.0657278,2.1079814,5.5187798,3.3051646,0.15023474,0.6384977,1.4788733,1.9741784,2.3521128,2.6079812,5.6877937,0.23943663,1.9835682,3.6150236,0.24413146,0.079812214,0.016431926,0.29577467,3.3333335,2.4694836,1.2065729,0.629108,10.765259,1.6361502,4.1056337,4.6549296,0.41079813,1.7558687,0.730047,0.02347418,2.0845072,0.49765262,4.1361504,0.13615024,0.81690145,0.12206573,7.6596246,1.8497654,2.5868545,0.443662,4.345071,2.0469484,0.17605634,1.3638498,0.39201882,0.086854465,0.11032864,0.2746479,0.049295776,0.02112676,3.2793427,1.4389671,0.06807512,0.37558687,0.058685448,14.115024,4.5962443,2.6314554,2.0704226,1.2676057,17.509392,15.08216,0.9929578,0.41314557,1.5140846,1.258216,2.1502347,0.29812208,1.5187793,0.98356813,0.058685448,0.3685446,0.03286385,0.673709,0.34741786,2.9342723,0.39201882,1.3732395,0.77230054,0.96948355,0.45070425,1.7276995,0.9929578,control
GSM317421,4.2033896,1.0360171,8.862288,4.120763,3.3241525,3.3495765,16.485168,2.809322,0.04025424,1.1271187,0.8622882,0.48093224,2.2372882,3.6822035,0.49152544,4.976695,1.8029661,1.9216101,2.4110172,6.9385595,2.6038136,0.27118644,0.059322033,1.6800848,1.6525424,2.1080508,1.3665254,4.904661,0.34533897,2.4512713,3.0169492,0.69491524,0.048728812,0.12288136,0.06355932,4.519068,2.0254238,1.1059322,0.5529661,9.758475,3.3686442,3.2394068,3.561441,0.5677966,1.4661016,0.9830509,0.06567796,1.947034,0.18855932,3.6800847,0.29449153,0.9364407,0.32627118,9.902542,2.006356,2.3538136,0.19703391,4.5932207,1.881356,0.24364407,0.5466102,0.59322035,0.086864404,0.014830508,0.3495763,0.059322033,0.059322033,3.118644,1.0805085,0.20127119,0.48728815,0.17372881,13.620764,4.324153,2.6737287,2.7394068,0.8834746,20.495764,13.358051,1.2118645,0.7161017,1.5805085,1.292373,2.512712,0.720339,1.1398305,0.8368644,0.07838983,0.093220346,0.023305086,0.95127124,0.5084746,3.3453388,0.29872882,2.0487287,1.0317796,0.7966102,0.73093224,2.4427967,1.1144068,control
GSM317426,4.3795176,0.9096385,7.2409635,2.3433735,2.4849396,2.138554,15.728915,3.1415663,0.093373485,0.7439759,1.0843374,0.5722891,2.2379518,2.9367468,0.3885542,6.7861443,1.7259035,1.6174698,1.2048192,4.8644576,4.3825297,0.14759035,0.71385545,1.0120481,1.7259035,1.9548192,1.379518,5.210843,0.24698794,1.5240963,2.259036,0.66566265,0.20783132,0.13253012,0.06626506,2.629518,1.4698794,0.7650602,0.65361446,7.0030117,2.2198794,4.638554,3.2319276,0.37349394,1.8132529,1.0210843,0.03313253,1.4307228,0.24397591,3.5451806,0.12650602,1.5331326,0.30421686,5.981928,2.0722892,1.3343372,0.7620481,2.7289155,2.2228916,0.054216865,0.93072283,0.40361443,0.4066265,0.024096385,0.24096385,0.15361445,0.10843373,3.2198794,0.813253,0.4307229,0.0873494,0.012048192,12.14759,4.53012,2.2981927,2.563253,1.2951807,16.960842,12.716867,0.5903614,0.5963855,1.2108433,0.9036144,2.5933733,0.22289155,1.1415663,0.560241,0.0753012,0.4638554,0.03313253,1.2469879,0.29819274,2.8975902,0.813253,1.3885541,1.0421686,1.2319278,1.1837349,1.4879518,1.0301205,control
